url,domain,class,title,prompt,engine,persona,topic
https://ascopubs.org/doi/10.1200/OP.2025.21.10_suppl.55,ascopubs.org,earned,OP.2025.21.10 Suppl,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.oncologynewscentral.com/oncology/nearly-9-in-10-cancer-patients-experience-prior-authorization,oncologynewscentral.com,earned,Nearly 9 In 10 Cancer Patients Experience Prior Authorization,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.oncologynewscentral.com/article/prior-authorization-rule-wont-fix-oncology-drug-problem,oncologynewscentral.com,earned,Prior Authorization Rule Wont Fix Oncology Drug Problem,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.accc-cancer.org/home/learn/financial-advocacy/prior-authorization-clinic,accc-cancer.org,earned,Prior Authorization Clinic,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.cancertherapyadvisor.com/features/oncology-prior-authorization-burdens-barriers-to-care/,cancertherapyadvisor.com,earned,Oncology Prior Authorization Burdens Barriers To Care,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.astro.org/news-and-publications/news-and-media-center/news-releases/2024/new-astro-survey-finds-that-prior-authorization-delays-lead-to-serious-harm-for-people-with-cancer,astro.org,earned,New Astro Survey Finds That Prior Authorization Delays Lead To Serious Harm For People With Cancer,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.accc-cancer.org/acccbuzz/blog-post-template/accc-buzz/2024/02/22/cms-finalizes-rule-to-improve-the-prior-authorization-process,accc-cancer.org,earned,Cms Finalizes Rule To Improve The Prior Authorization Process,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://ashpublications.org/ashclinicalnews/news/7981/Standing-Up-to-Prior-Authorization,ashpublications.org,earned,Standing Up To Prior Authorization,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11886789/,ncbi.nlm.nih.gov,earned,PMC11886789,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.ameridial.com/blog/oncology-revenue-cycle-prior-authorization-crisis/,ameridial.com,earned,Oncology Revenue Cycle Prior Authorization Crisis,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.onclive.com/view/prior-authorization-hurdles-delay-oncology-care,onclive.com,earned,Prior Authorization Hurdles Delay Oncology Care,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.oncologynewscentral.com/oncology/what-prior-authorization-pledge-might-mean-for-oncology,oncologynewscentral.com,earned,What Prior Authorization Pledge Might Mean For Oncology,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.advancesradonc.org/article/S2452-1094(24)00217-3/fulltext,advancesradonc.org,earned,Fulltext,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://pmc.ncbi.nlm.nih.gov/articles/PMC11699354/,pmc.ncbi.nlm.nih.gov,earned,PMC11699354,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://www.asco.org/about-asco/press-center/news-releases/prior-authorization-often-places-burden-patients-with-cancer-delays-care,asco.org,earned,Prior Authorization Often Places Burden Patients With Cancer Delays Care,What are the biggest challenges with prior authorization in community oncology?,claude,cro,Prior Authorization
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEmhwkxzV3ALDnXN948iugzW2bsafH0ac0OIyCBh7nQsjC9Z9p1g_PHqI7Sl3WiWm2MHYyFM1SYXIEYK2ultL7Tw_KUYrtuzeP2bETwqYDtuygZ9PIkFnYp01Ss2NI9Z65SZLVXDB9c1NkhjbMIfC7kp9I=,vertexaisearch.cloud.google.com,earned,AUZIYQEmhwkxzV3ALDnXN948iugzW2bsafH0ac0OIyCBh7nQsjC9Z9p1g PHqI7Sl3WiWm2MHYyFM1SYXIEYK2ultL7Tw KUYrtuzeP2bETwqYDtuygZ9PIkFnYp01Ss2NI9Z65SZLVXDB9c1NkhjbMIfC7kp9I=,What are the biggest challenges with prior authorization in community oncology?,gemini,cro,Prior Authorization
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF5bRw0Ksme_pxEHapJgg93Op4o-HJ4RLaElG7jtatDdFHj6h22EEyXStVu_I8tRNih3sogJRIacLuSkp5JQ7apm0NIxRd7ulDKyjFYsUH7Bi-SOYuSRKKKiCZ-Ch9GLWwcRBHC81-1QTvwdb_uEpbbvqz49zdmFKoONo10WaEy-yWj4BYQUGY=,vertexaisearch.cloud.google.com,earned,AUZIYQF5bRw0Ksme PxEHapJgg93Op4o HJ4RLaElG7jtatDdFHj6h22EEyXStVu I8tRNih3sogJRIacLuSkp5JQ7apm0NIxRd7ulDKyjFYsUH7Bi SOYuSRKKKiCZ Ch9GLWwcRBHC81 1QTvwdb UEpbbvqz49zdmFKoONo10WaEy YWj4BYQUGY=,What are the biggest challenges with prior authorization in community oncology?,gemini,cro,Prior Authorization
https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFwxR3jrXnfnX5wmnT9KXmjqhbwomg-hchH0bWy86QrM1PjC3ULAUv2CSFtX133YKCV37L6AXEBNlwCrgOYTC1uqfknBCpVSwlf66RoL7LqVA6SziSY_hqG3xnFgLXVABkaxA5B_qfriDW6suVaw42bc5uNXfaM1pE3wd5af8d2SeL2SemSmUNJB5qWRNyXoBfNTlLchSrYHIRVXMkaKwK_L5j4MiU=,vertexaisearch.cloud.google.com,earned,AUZIYQFwxR3jrXnfnX5wmnT9KXmjqhbwomg HchH0bWy86QrM1PjC3ULAUv2CSFtX133YKCV37L6AXEBNlwCrgOYTC1uqfknBCpVSwlf66RoL7LqVA6SziSY HqG3xnFgLXVABkaxA5B QfriDW6suVaw42bc5uNXfaM1pE3wd5af8d2SeL2SemSmUNJB5qWRNyXoBfNTlLchSrYHIRVXMkaKwK L5j4MiU=,What are the biggest challenges with prior authorization in community oncology?,gemini,cro,Prior Authorization
